,var,med
4812,Zm00001d023840,Zm00001d023840
4813,Zm00001d024470,Zm00001d024470
4814,Zm00001d024265,Zm00001d024265
4815,Zm00001d026388,Zm00001d026388
4816,Zm00001d023704,Zm00001d023704
4817,Zm00001d026511,Zm00001d026511
4818,Zm00001d025928,Zm00001d025928
4819,Zm00001d024815,Zm00001d024815
4820,Zm00001d023477,Zm00001d023477
4821,Zm00001d025190,Zm00001d025190
4822,Zm00001d023606,Zm00001d023606
4823,Zm00001d024759,Zm00001d024759
4824,Zm00001d024738,Zm00001d024738
4825,Zm00001d025056,Zm00001d025056
4826,Zm00001d025333,Zm00001d025333
4827,Zm00001d023825,Zm00001d023825
4828,Zm00001d024184,Zm00001d024184
4829,Zm00001d025458,Zm00001d025458
4830,Zm00001d023699,Zm00001d023699
4831,Zm00001d023585,Zm00001d023585
4832,Zm00001d026064,Zm00001d026064
4833,Zm00001d024804,Zm00001d024804
4834,Zm00001d023810,Zm00001d023810
4835,Zm00001d026608,Zm00001d026608
4836,Zm00001d024406,Zm00001d024406
4837,Zm00001d024968,Zm00001d024968
4838,Zm00001d023648,Zm00001d023648
4839,Zm00001d024318,Zm00001d024318
4840,Zm00001d023757,Zm00001d023757
4841,Zm00001d026042,Zm00001d026042
4842,Zm00001d025023,Zm00001d025023
4843,Zm00001d024415,Zm00001d024415
4844,Zm00001d026557,Zm00001d026557
4845,Zm00001d024656,Zm00001d024656
4846,Zm00001d026347,Zm00001d026347
4847,Zm00001d026463,Zm00001d026463
4848,Zm00001d024891,Zm00001d024891
4849,Zm00001d023299,Zm00001d023299
4850,Zm00001d023290,Zm00001d023290
4851,Zm00001d025353,Zm00001d025353
4852,Zm00001d023740,Zm00001d023740
4853,Zm00001d024740,Zm00001d024740
4854,Zm00001d024664,Zm00001d024664
4855,Zm00001d024302,Zm00001d024302
4856,Zm00001d023447,Zm00001d023447
4857,Zm00001d026555,Zm00001d026555
4858,Zm00001d026412,Zm00001d026412
4859,Zm00001d025176,Zm00001d025176
4860,Zm00001d023575,Zm00001d023575
4861,Zm00001d024285,Zm00001d024285
4862,Zm00001d023769,Zm00001d023769
4863,Zm00001d024231,Zm00001d024231
4864,Zm00001d026277,Zm00001d026277
4865,Zm00001d025719,Zm00001d025719
4866,Zm00001d025684,Zm00001d025684
4867,Zm00001d026535,Zm00001d026535
4868,Zm00001d025988,Zm00001d025988
4869,Zm00001d024908,Zm00001d024908
4870,Zm00001d026165,Zm00001d026165
4871,Zm00001d025133,Zm00001d025133
4872,Zm00001d025265,Zm00001d025265
4873,Zm00001d024951,Zm00001d024951
4874,Zm00001d025033,Zm00001d025033
4875,Zm00001d026239,Zm00001d026239
4876,Zm00001d025506,Zm00001d025506
4877,Zm00001d023260,Zm00001d023260
4878,Zm00001d026603,Zm00001d026603
4879,Zm00001d025444,Zm00001d025444
4880,Zm00001d023537,Zm00001d023537
4881,Zm00001d026508,Zm00001d026508
4882,Zm00001d024940,Zm00001d024940
4883,Zm00001d026670,Zm00001d026670
4884,Zm00001d024682,Zm00001d024682
4885,Zm00001d025821,Zm00001d025821
4886,Zm00001d023288,Zm00001d023288
4887,Zm00001d026170,Zm00001d026170
4888,Zm00001d025437,Zm00001d025437
4889,Zm00001d026560,Zm00001d026560
4890,Zm00001d023655,Zm00001d023655
4891,Zm00001d024560,Zm00001d024560
4892,Zm00001d025867,Zm00001d025867
4893,Zm00001d025960,Zm00001d025960
4894,Zm00001d024070,Zm00001d024070
4895,Zm00001d023940,Zm00001d023940
4896,Zm00001d026352,Zm00001d026352
4897,Zm00001d024043,Zm00001d024043
4898,Zm00001d023349,Zm00001d023349
4899,Zm00001d024177,Zm00001d024177
4900,Zm00001d025865,Zm00001d025865
4901,Zm00001d025380,Zm00001d025380
4902,Zm00001d025301,Zm00001d025301
4903,Zm00001d025801,Zm00001d025801
4904,Zm00001d026325,Zm00001d026325
4905,Zm00001d026293,Zm00001d026293
4906,Zm00001d025550,Zm00001d025550
4907,Zm00001d024354,Zm00001d024354
4908,Zm00001d023785,Zm00001d023785
4909,Zm00001d025475,Zm00001d025475
4910,Zm00001d023455,Zm00001d023455
4911,Zm00001d026675,Zm00001d026675
4912,Zm00001d024615,Zm00001d024615
4913,Zm00001d025468,Zm00001d025468
4914,Zm00001d024372,Zm00001d024372
4915,Zm00001d025501,Zm00001d025501
4916,Zm00001d024950,Zm00001d024950
4917,Zm00001d026371,Zm00001d026371
4918,Zm00001d023616,Zm00001d023616
4919,Zm00001d023326,Zm00001d023326
4920,Zm00001d025195,Zm00001d025195
4921,Zm00001d023426,Zm00001d023426
4922,Zm00001d024579,Zm00001d024579
4923,Zm00001d026445,Zm00001d026445
4924,Zm00001d026662,Zm00001d026662
4925,Zm00001d023904,Zm00001d023904
4926,Zm00001d026341,Zm00001d026341
4927,Zm00001d023700,Zm00001d023700
4928,Zm00001d023474,Zm00001d023474
4929,Zm00001d023945,Zm00001d023945
4930,Zm00001d023742,Zm00001d023742
4931,Zm00001d025829,Zm00001d025829
4932,Zm00001d023673,Zm00001d023673
4933,Zm00001d023553,Zm00001d023553
4934,Zm00001d024712,Zm00001d024712
4935,Zm00001d023577,Zm00001d023577
4936,Zm00001d023890,Zm00001d023890
4937,Zm00001d025788,Zm00001d025788
4938,Zm00001d024670,Zm00001d024670
4939,Zm00001d024486,Zm00001d024486
4940,Zm00001d026041,Zm00001d026041
4941,Zm00001d024030,Zm00001d024030
4942,Zm00001d025747,Zm00001d025747
4943,Zm00001d024323,Zm00001d024323
4944,Zm00001d025167,Zm00001d025167
4945,Zm00001d025745,Zm00001d025745
4946,Zm00001d024275,Zm00001d024275
4947,Zm00001d026487,Zm00001d026487
4948,Zm00001d025613,Zm00001d025613
4949,Zm00001d024181,Zm00001d024181
4950,Zm00001d025704,Zm00001d025704
4951,Zm00001d025332,Zm00001d025332
4952,Zm00001d024630,Zm00001d024630
4953,Zm00001d024761,Zm00001d024761
4954,Zm00001d025660,Zm00001d025660
4955,Zm00001d025572,Zm00001d025572
4956,Zm00001d026196,Zm00001d026196
4957,Zm00001d025951,Zm00001d025951
4958,Zm00001d024750,Zm00001d024750
4959,Zm00001d025957,Zm00001d025957
4960,Zm00001d023908,Zm00001d023908
4961,Zm00001d023503,Zm00001d023503
4962,Zm00001d025440,Zm00001d025440
4963,Zm00001d025465,Zm00001d025465
4964,Zm00001d026464,Zm00001d026464
4965,Zm00001d023449,Zm00001d023449
4966,Zm00001d025552,Zm00001d025552
4967,Zm00001d024789,Zm00001d024789
4968,Zm00001d023256,Zm00001d023256
4969,Zm00001d023481,Zm00001d023481
4970,Zm00001d025278,Zm00001d025278
4971,Zm00001d024208,Zm00001d024208
4972,Zm00001d026533,Zm00001d026533
4973,Zm00001d025373,Zm00001d025373
4974,Zm00001d023865,Zm00001d023865
4975,Zm00001d025811,Zm00001d025811
4976,Zm00001d024597,Zm00001d024597
4977,Zm00001d024042,Zm00001d024042
4978,Zm00001d023715,Zm00001d023715
4979,Zm00001d025559,Zm00001d025559
4980,Zm00001d025815,Zm00001d025815
4981,Zm00001d026243,Zm00001d026243
4982,Zm00001d024552,Zm00001d024552
4983,Zm00001d023750,Zm00001d023750
4984,Zm00001d025991,Zm00001d025991
4985,Zm00001d023400,Zm00001d023400
4986,Zm00001d026709,Zm00001d026709
4987,Zm00001d023927,Zm00001d023927
4988,Zm00001d025850,Zm00001d025850
4989,Zm00001d023733,Zm00001d023733
4990,Zm00001d026402,Zm00001d026402
4991,Zm00001d025875,Zm00001d025875
4992,Zm00001d025583,Zm00001d025583
4993,Zm00001d025933,Zm00001d025933
4994,Zm00001d024531,Zm00001d024531
4995,Zm00001d023827,Zm00001d023827
4996,Zm00001d023450,Zm00001d023450
4997,Zm00001d026385,Zm00001d026385
4998,Zm00001d024572,Zm00001d024572
4999,Zm00001d024027,Zm00001d024027
5000,Zm00001d026268,Zm00001d026268
5001,Zm00001d025406,Zm00001d025406
5002,Zm00001d026420,Zm00001d026420
5003,Zm00001d023532,Zm00001d023532
5004,Zm00001d024250,Zm00001d024250
5005,Zm00001d023499,Zm00001d023499
5006,Zm00001d025038,Zm00001d025038
5007,Zm00001d026498,Zm00001d026498
5008,Zm00001d025463,Zm00001d025463
5009,Zm00001d026472,Zm00001d026472
5010,Zm00001d025600,Zm00001d025600
5011,Zm00001d025846,Zm00001d025846
5012,Zm00001d024053,Zm00001d024053
5013,Zm00001d023421,Zm00001d023421
5014,Zm00001d025205,Zm00001d025205
5015,Zm00001d025859,Zm00001d025859
5016,Zm00001d024962,Zm00001d024962
5017,Zm00001d023869,Zm00001d023869
5018,Zm00001d025434,Zm00001d025434
5019,Zm00001d026098,Zm00001d026098
5020,Zm00001d025589,Zm00001d025589
5021,Zm00001d026636,Zm00001d026636
5022,Zm00001d023314,Zm00001d023314
5023,Zm00001d025593,Zm00001d025593
5024,Zm00001d026351,Zm00001d026351
5025,Zm00001d024651,Zm00001d024651
5026,Zm00001d026671,Zm00001d026671
5027,Zm00001d026051,Zm00001d026051
5028,Zm00001d024003,Zm00001d024003
5029,Zm00001d025888,Zm00001d025888
5030,Zm00001d026166,Zm00001d026166
5031,Zm00001d024154,Zm00001d024154
5032,Zm00001d025455,Zm00001d025455
5033,Zm00001d025185,Zm00001d025185
5034,Zm00001d023745,Zm00001d023745
5035,Zm00001d023281,Zm00001d023281
5036,Zm00001d026300,Zm00001d026300
5037,Zm00001d026542,Zm00001d026542
5038,Zm00001d024955,Zm00001d024955
5039,Zm00001d024924,Zm00001d024924
5040,Zm00001d026655,Zm00001d026655
5041,Zm00001d023490,Zm00001d023490
5042,Zm00001d023540,Zm00001d023540
5043,Zm00001d025672,Zm00001d025672
5044,Zm00001d025022,Zm00001d025022
5045,Zm00001d024096,Zm00001d024096
